Number,Link of Source,Top Comment
1,https://www.youtube.com/watch?v=YQ2GOtpYiqk,"We did this in America when glass was a thing (I'm 59, now). Then plastic came and that was the end of that. Plastic, single use, should be illegal."
2,https://www.youtube.com/watch?v=YQ2GOtpYiqk,Empty your bottles before bringing them back. Das gibt ein Strafbier
3,https://www.youtube.com/watch?v=YQ2GOtpYiqk,"I live in germany and one of the cool things about pfand is that even if someone doesent recylce a bottle and leaves it on the ground, there will be always someone who will pick it up since its like finding free money"
4,https://www.youtube.com/watch?v=YQ2GOtpYiqk,"""Ew. Ewwww. It's pretty messy"" 
Well not if you empty the bottle correctly, it isn't^^"
5,https://www.youtube.com/watch?v=YQ2GOtpYiqk,"Danke an die Rentner und Obdachlosen, die aus einem eher traurigen Motiv all die Flaschen sammeln. 

Und natürlich jedem umweltbewussten Menschen, der sie direkt im Supermarkt abgibt."
6,https://www.youtube.com/watch?v=YQ2GOtpYiqk,"We have done this in Finland for decades. (We started in 1952) We also recycle more than 95% of all plastic, aluminium, glass bottles and cans. Germany is not alone."
7,https://www.youtube.com/watch?v=YQ2GOtpYiqk,2:52 the beer could have been return as a whole through the square on the button of the machine.. including the crate it was transported in...
8,https://www.youtube.com/watch?v=YQ2GOtpYiqk,"From someone who lives in Germany, I think it’s common sense to empty out your bottles before putting them in the Maschine. Also the Beer crate including the beer bottles inside can be deposited all at once."
9,https://www.youtube.com/watch?v=YQ2GOtpYiqk,This used to be done in the US until the early 1970's. As kids we collected glass bottles for the deposit.
10,https://www.youtube.com/watch?v=YQ2GOtpYiqk,I'm 55 and live in Canada. We have been returning our bottles and cans for my entire life. We pay a deposit and get the money back when we return the bottles and cans to a bottle depot.
11,https://www.youtube.com/watch?v=YQ2GOtpYiqk,I'm so proud and happy that Slovakia is joining plastic bottle deposit party starting from 1.1.2022.
12,https://www.youtube.com/watch?v=YQ2GOtpYiqk,Love how you guys used Haribo cola gummies in the animations. So perfect
13,https://www.youtube.com/watch?v=YQ2GOtpYiqk,I went on a sport tour to Germany and in our second day we learnt about the Pfand system and we ended up looking for littered bottles to get extra money so I can say it really works
14,https://www.youtube.com/watch?v=-YnYwWiSiuE,This is the use of AI that makes sense
15,https://www.youtube.com/watch?v=-YnYwWiSiuE,"Almost 20 years ago, when I still lived in Taiwan, I brought a bag of family garbage to the yellow garbage collecting truck from the city government. The staffer came with the truck refused to take my garbage, because I did not sort the garbage properly. It was inconvenient for me because I had to take the garbage home, but I have been very proud of the gov's strict policy since."
16,https://www.youtube.com/watch?v=-YnYwWiSiuE,"I live in Taiwan. the taiwanese government has done something right for the reduction of single use of plastic. for example you will get discount for coffee you buy in the convient store if you bring your own bottle. howeve there are also lots things can be improved, for example almost all the foods need plastic packages in the supermarket, and people use tons of plastic bags when they shop in the traditional markets. I am graceful for DW constantly watching for the environment issues around the world. Great job DW. 👍"
17,https://www.youtube.com/watch?v=-YnYwWiSiuE,"I live in Taipei.  One of the measures Taiwan has done right is to require trash to be put into special bags that must be bought.  When you have to pay for these bags, you tend to sort your trash better.  Tall buildings have trash rooms with a bin for each recyclable.  Make it easy for people to recycle, and they will do it."
18,https://www.youtube.com/watch?v=-YnYwWiSiuE,Recycling could be much easier if companies cared about recyclebility. They should pay much more for hard to recyclable packaging.
19,https://www.youtube.com/watch?v=-YnYwWiSiuE,"Taiwan has an incredible recycling system that sets a great example. However, I’m deeply concerned about the air quality here. As a resident whose family has been personally impacted, it’s heartbreaking to see the high rates of lung cancer. I truly hope Taiwan can apply the same dedication it showed in recycling to improving our air quality for everyone's health."
20,https://www.youtube.com/watch?v=-YnYwWiSiuE,We need to reduce the amount of plastic we use everywhere
21,https://www.youtube.com/watch?v=-YnYwWiSiuE,"As a Canadian, I wish our government would look to other countries like Taiwan, Sweden and many others for inspiration. When something works well elsewhere, it stands to reason that it could work anyway. Way to go Taiwan on leading the way!! Hopefully, the rest of the world will follow your example."
22,https://www.youtube.com/watch?v=-YnYwWiSiuE,the fact that the taiwanese recycling success and the system behind it was mentioned in our malaysian geography book shows how well they manage their trash!
23,https://www.youtube.com/watch?v=-YnYwWiSiuE,"Almost all of my household's recycling is food packaging plastic.  When I was a kid, you weren't forced to buy a bag of vegetables. The bag or clam shell  forces you to buy a prescribed amount, whether you need it or not, and it's easier for checkout because there's a barcode on the package. I can see where for something like blueberries you pretty much have to have some kind of package, but you don't need to double bag cucumbers."
24,https://www.youtube.com/watch?v=-YnYwWiSiuE,Universal standardised packaging could just replace single used plastic.
25,https://www.youtube.com/watch?v=-YnYwWiSiuE,I live in Taiwan for the last 17 years and I absolutely love hearing the garbage truck in the evening (when I lived near Muzha in Taipei) or in the morning here in Taichung.
26,https://www.youtube.com/watch?v=-YnYwWiSiuE,Having people made responsible about managing their trash is what I always dream of for my country(ph). My people is a top plastic polluter and they just throw it everywhere then cry when there are massive floods.
27,https://www.youtube.com/watch?v=KXRtNwUju5g,China did nothing to break the world's recycling. All it did was tell the rest of the world to recycle their own messes in their own countries. Which sounds completely logical and rational to me.
28,https://www.youtube.com/watch?v=KXRtNwUju5g,"Title: How China Broke Recycling

Video: How Recycling was broken from the beginning"
29,https://www.youtube.com/watch?v=KXRtNwUju5g,"The video dug deeper to reveal how the industry works as a whole, instead of just putting the blame on China like what most news media would opt for. Respect."
30,https://www.youtube.com/watch?v=KXRtNwUju5g,It should never have been something to profit from but a necessary cost.
31,https://www.youtube.com/watch?v=KXRtNwUju5g,"""How China Revealed the World's Recycling System was Always Broken"""
32,https://www.youtube.com/watch?v=KXRtNwUju5g,"In the UK: the council fines you for not separating your recyclables correctly, then sends all waste to the same landfill."
33,https://www.youtube.com/watch?v=KXRtNwUju5g,That’s why I refuse to take cups at McDonalds and chug directly from the fountain...and they look at me like I am the idiot.🤦‍♂️
34,https://www.youtube.com/watch?v=KXRtNwUju5g,"I worked in the trash industry , and there was a standard we weren't meeting as a country. He missed this fact in the video. Processed plastics works off a rating system say 5/10 is acceptable. We repeatedly did not meet this 5/10 standard and this was the biggest reason. It was costing them too much to sort already sorted plastic"
35,https://www.youtube.com/watch?v=KXRtNwUju5g,"Its just like in the movies. By ""the world"" is really meant ""the US"""
36,https://www.youtube.com/watch?v=KXRtNwUju5g,i still dont get why humans thought that using a super durable and long lasting material for packaging that you are meant to throw away was a good idea
37,https://www.youtube.com/watch?v=KXRtNwUju5g,"""How China Broke the World's Recycling"" or How US had to deal with its own trash"
38,https://www.youtube.com/watch?v=KXRtNwUju5g,"5:00 Regulations Timeline
6:25 Why plastic recycling is a dead end
8:00 How plastic recycling is profitable in China
11:00 The turning point"
39,https://www.youtube.com/watch?v=KXRtNwUju5g,"Im from Guangzhou, China. I remember the day it was banned by China, everyone was super happy. The plastic recycling companies often illegally dump the wasted into the pearl river, contaminating the environment. I remember a stream of peral river near my house smelled like sewage cause the stream passes near plastic recycling place"
40,https://www.youtube.com/shorts/d-5JsMnmGoA,this is an ad i voluntarily watched
41,https://www.youtube.com/shorts/d-5JsMnmGoA,"I will take literally any alternative to polystyrene, otherwise known as the devil's packaging"
42,https://www.youtube.com/shorts/d-5JsMnmGoA,Mushroom engineering is still so slept on. It's not usable for everything- likely won't ever be usable for all the things scientists are playing around with right now -but stuff like this is exactly what I've been itching to see
43,https://www.youtube.com/shorts/d-5JsMnmGoA,"Governments should be funding this, not the LLMs"
44,https://www.youtube.com/shorts/d-5JsMnmGoA,I feel like I keep hearing about incredible inventions like this but they never actually get off the ground into widespread public use. Nothing ever changes…
45,https://www.youtube.com/shorts/d-5JsMnmGoA,"I want mushrooms to save the world. I am not a biologist, but as an aspiring storyteller and world builder, I am endlessly fascinated by mycelium and fungal networks. They’re a large part of many ecosystems that make up an important backbone that keeps many places stable and healthy, but they’re also largely overlooked by most people since fungi have a negative reputation of being the source of rot and spoil."
46,https://www.youtube.com/shorts/d-5JsMnmGoA,"You may want to change the name of the company, I mean “Magical Mushroom” is bound to get a different type of customer than expected"
47,https://www.youtube.com/shorts/d-5JsMnmGoA,"If you set up operations in Japan, Korea, and China and made mycelium alternatives to the boxes they use to ship frozen fish, that would be one of the places where you can make the biggest impact. They go through so much polystyrene simply shipping fish to and from markets."
48,https://www.youtube.com/shorts/d-5JsMnmGoA,"not only is this great for the environment, but it replaces that HORRIFIC SOUND polystyrene produces when rubbed against itself"
49,https://www.youtube.com/shorts/d-5JsMnmGoA,If it's truly cost competitive and quickly producible then this could be one of the best inventions ever
50,https://www.youtube.com/shorts/d-5JsMnmGoA,"Commenting to boost!
I know this type of packaging has been around for a decade now,  but i've never seen one irl yet. Let's get rid of polystyrene!"
